date_of_race,horse_name,bookie_odds,venue,ew_stake,balance,rating,current_time,expected_value,expected_return,win_stake,place_stake,win_odds,place_odds,betfair_balance,max_profit,is_lay,win_matched,lay_matched,arbritrage_profit,place_payout,balance_in_betfair
2021-01-22 16:10:00,Act Naturally,13.0,Lingfield,0.15,44.32,100.07,2021-01-22 14:15:31,6.25%,0.01,10.04,10.69,13.0,3.2,40.4,0.01,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 15:35:00,Duc Des Genievres,23.0,Ascot,0.12,44.08,102.1,2021-01-23 08:01:02,7.72%,0.01,14.39,22.08,28.0,4.3,52.43,0.74,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 15:35:00,Duc Des Genievres,23.0,Ascot,0.16,43.76,103.59,2021-01-23 08:03:45,10.77%,0.02,11.08,16.4,27.0,4.3,52.43,0.93,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 15:35:00,Duc Des Genievres,23.0,Ascot,0.16,43.44,103.59,2021-01-23 08:06:34,10.77%,0.02,16.62,24.6,27.0,4.3,52.43,1.4,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 15:35:00,Duc Des Genievres,23.0,Ascot,0.16,43.12,103.59,2021-01-23 08:10:51,10.77%,0.02,16.62,24.6,27.0,4.3,52.43,1.4,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 15:35:00,Duc Des Genievres,23.0,Ascot,0.16,42.8,102.51,2021-01-23 08:13:41,11.19%,0.02,12.41,17.26,26.0,4.4,52.43,0.7,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 15:35:00,Duc Des Genievres,23.0,Ascot,0.12,42.56,102.18,2021-01-23 08:16:33,7.91%,0.01,12.36,17.88,27.0,4.4,52.43,0.63,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 15:35:00,Duc Des Genievres,23.0,Ascot,0.16,42.24,103.59,2021-01-23 08:19:14,10.77%,0.02,6.82,10.09,27.0,4.3,52.43,0.58,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 15:35:00,Duc Des Genievres,23.0,Ascot,0.21,41.82,104.2,2021-01-23 08:21:54,14.73%,0.03,11.52,15.41,25.0,4.4,52.43,1.05,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 15:35:00,Duc Des Genievres,23.0,Ascot,0.2,41.42,102.45,2021-01-23 08:24:36,14.04%,0.03,10.19,14.61,26.0,4.3,52.43,0.56,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 15:35:00,Duc Des Genievres,23.0,Ascot,0.2,41.02,103.73,2021-01-23 08:27:25,14.04%,0.03,10.18,14.61,26.0,4.3,52.43,0.86,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 15:35:00,Duc Des Genievres,23.0,Ascot,0.25,40.52,105.47,2021-01-23 08:30:12,17.58%,0.04,10.59,14.61,25.0,4.3,52.43,1.26,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 15:35:00,Duc Des Genievres,23.0,Ascot,0.24,40.04,106.94,2021-01-23 08:32:59,17.58%,0.04,14.73,20.19,25.0,4.3,52.43,2.22,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 15:35:00,Duc Des Genievres,23.0,Ascot,0.24,39.56,106.94,2021-01-23 08:35:49,17.58%,0.04,17.49,23.97,25.0,4.3,52.43,2.64,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 15:35:00,Duc Des Genievres,23.0,Ascot,0.24,39.08,106.94,2021-01-23 08:38:35,17.58%,0.04,13.35,18.29,25.0,4.3,52.43,2.01,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 15:35:00,Duc Des Genievres,23.0,Ascot,0.23,38.62,106.94,2021-01-23 08:41:12,17.58%,0.04,13.81,18.93,25.0,4.3,52.43,2.08,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 15:35:00,First Flow,17.0,Ascot,0.23,38.16,103.85,2021-01-23 08:43:52,13.81%,0.03,7.78,9.46,17.5,3.6,52.43,0.62,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 15:35:00,First Flow,17.0,Ascot,0.23,37.7,103.85,2021-01-23 08:46:36,13.81%,0.03,7.78,9.46,17.5,3.6,52.43,0.62,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 15:35:00,First Flow,17.0,Ascot,0.23,37.24,103.85,2021-01-23 08:49:30,13.81%,0.03,7.78,9.46,17.5,3.6,52.43,0.62,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 15:35:00,First Flow,17.0,Ascot,0.23,36.78,103.85,2021-01-23 08:52:13,13.81%,0.03,7.78,9.46,17.5,3.6,52.43,0.62,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 15:35:00,First Flow,17.0,Ascot,0.22,36.34,105.14,2021-01-23 08:54:56,13.81%,0.03,11.67,14.08,17.5,3.6,52.43,1.23,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 15:35:00,First Flow,17.0,Ascot,0.22,35.9,105.14,2021-01-23 08:57:38,13.81%,0.03,15.56,18.77,17.5,3.6,52.43,1.64,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 15:35:00,First Flow,17.0,Ascot,0.19,35.52,104.35,2021-01-23 09:00:22,12.21%,0.02,16.05,19.09,17.5,3.65,52.43,1.44,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 15:35:00,First Flow,17.0,Ascot,0.21,35.1,105.14,2021-01-23 09:03:18,13.81%,0.03,17.51,21.12,17.5,3.6,52.43,1.85,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 15:35:00,First Flow,17.0,Ascot,0.23,34.64,105.75,2021-01-23 09:06:12,15.07%,0.03,15.52,17.93,17.0,3.65,52.43,1.78,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 15:35:00,First Flow,17.0,Ascot,0.16,34.32,103.58,2021-01-23 09:26:35,10.66%,0.02,9.73,11.41,17.5,3.7,52.43,0.72,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 16:05:00,King Of The South,3.25,Newcastle,0.11,34.1,98.14,2021-01-23 09:39:33,1.07%,0.0,27.79,33.16,3.5,1.34,52.43,1.1,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 16:05:00,King Of The South,3.25,Newcastle,0.15,33.8,99.35,2021-01-23 09:44:20,1.4%,0.0,19.79,24.55,3.55,1.32,52.43,0.28,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 16:05:00,King Of The South,3.25,Newcastle,0.43,32.94,100.66,2021-01-23 09:47:13,4.05%,0.02,29.37,35.39,3.45,1.32,52.43,0.41,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 16:05:00,King Of The South,3.25,Newcastle,0.42,32.1,100.66,2021-01-23 09:50:00,4.05%,0.02,29.37,35.39,3.45,1.32,52.43,0.41,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 16:05:00,King Of The South,3.25,Newcastle,0.32,31.46,100.67,2021-01-23 09:52:54,3.23%,0.01,27.48,32.1,3.45,1.33,52.43,0.39,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 16:05:00,King Of The South,3.25,Newcastle,0.32,30.82,100.67,2021-01-23 09:55:47,3.23%,0.01,27.48,32.1,3.45,1.33,52.43,0.39,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 15:35:00,Waiting Patiently,3.75,Ascot,0.23,30.36,99.95,2021-01-23 10:05:16,3.05%,0.01,45.91,52.59,3.9,1.45,52.43,0.05,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 15:35:00,Waiting Patiently,3.75,Ascot,0.14,30.08,99.35,2021-01-23 10:08:18,1.83%,0.0,19.56,22.7,3.95,1.45,52.43,0.27,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 15:35:00,Waiting Patiently,3.75,Ascot,0.14,29.8,99.35,2021-01-23 10:11:13,1.83%,0.0,45.32,52.59,3.95,1.45,52.43,0.62,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 12:30:00,Alaphilippe,6.5,Taunton,0.33,29.14,102.02,2021-01-23 10:55:46,8.26%,0.03,14.03,18.82,7.2,1.78,52.43,0.63,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 12:30:00,Alaphilippe,6.5,Taunton,0.32,28.5,100.84,2021-01-23 10:58:40,8.26%,0.03,10.91,14.57,7.2,1.78,52.43,0.2,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 12:30:00,Alaphilippe,6.5,Taunton,0.23,28.04,101.86,2021-01-23 11:26:57,6.37%,0.01,18.62,22.95,7.0,1.85,52.43,0.74,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 12:30:00,Alaphilippe,6.5,Taunton,0.35,27.34,102.63,2021-01-23 11:30:12,9.52%,0.03,11.64,15.0,7.0,1.8,52.43,0.66,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 16:05:00,King Of The South,3.0,Newcastle,0.11,27.12,99.7,2021-01-23 11:33:36,1.15%,0.0,19.66,24.08,3.3,1.27,52.43,0.13,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 16:05:00,King Of The South,3.0,Newcastle,0.11,26.9,99.7,2021-01-23 11:36:38,1.15%,0.0,19.66,24.08,3.3,1.27,52.43,0.13,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 16:05:00,King Of The South,3.0,Newcastle,0.11,26.68,99.7,2021-01-23 11:39:31,1.15%,0.0,20.58,25.2,3.3,1.27,52.43,0.14,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 16:05:00,King Of The South,3.0,Newcastle,0.11,26.46,99.7,2021-01-23 11:42:26,1.15%,0.0,20.58,25.2,3.3,1.27,52.43,0.14,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 13:35:00,Detatched,10.0,Taunton,0.12,26.22,100.45,2021-01-23 12:40:14,6.06%,0.01,18.04,19.46,10.0,2.64,52.43,0.16,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 15:35:00,Waiting Patiently,3.75,Ascot,0.11,28.8,99.74,2021-01-23 13:06:59,1.6%,0.0,19.81,21.91,3.9,1.47,52.43,0.11,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 15:35:00,Waiting Patiently,3.75,Ascot,0.16,28.48,100.1,2021-01-23 13:09:53,2.32%,0.0,9.66,10.76,3.9,1.46,52.43,0.02,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 15:35:00,Waiting Patiently,3.75,Ascot,0.16,28.16,100.1,2021-01-23 13:12:45,2.32%,0.0,9.66,10.76,3.9,1.46,52.43,0.02,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 15:35:00,Waiting Patiently,3.75,Ascot,0.11,27.94,99.74,2021-01-23 13:15:33,1.6%,0.0,19.81,21.91,3.9,1.47,52.43,0.11,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 15:35:00,Waiting Patiently,3.75,Ascot,0.11,27.72,99.74,2021-01-23 13:18:26,1.6%,0.0,59.44,65.74,3.9,1.47,52.43,0.32,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 15:35:00,Waiting Patiently,3.75,Ascot,0.11,27.5,99.74,2021-01-23 13:21:17,1.6%,0.0,49.77,55.05,3.9,1.47,52.43,0.27,False,0.0,0.0,0.0,5.0,0.0
2021-01-23 15:35:00,Waiting Patiently,3.75,Ascot,0.11,27.28,99.74,2021-01-23 13:24:15,1.6%,0.0,64.27,71.09,3.9,1.47,52.43,0.35,False,0.0,0.0,0.0,5.0,0.0
