current_time,race_time,venue,horse_name,exp_value,exp_growth,exp_return,bookie_stake,bookie_odds,win_stake,win_odds,place_stake,place_odds,bookie_balance,betfair_balance,betfair_exposure,win_profit,place_profit,lose_profit,bet_type,place_payout
12/05/2021 14:54:25,12 May 15:30 2021,Worcester,Presenting Jeremy,0.003776223776223775,9.941229925036765e-06,0.003543451994480104,0.21,3.5,0,3.65,0,1.43,99.91,256.53,0.0,0.63,-0.1,-0.42,Punt,5.0
12/05/2021 14:55:29,12 May 15:30 2021,Worcester,Johnny B,-0.3445375457875448,-0.0034092290576470674,-1.097294464494285,17.29,2.1,0,2.24,0,1.17,65.33,256.53,0.0,22.82,-13.49,-34.58,Punt,5.0
12/05/2021 15:08:12,12 May 19:30 2021,Dundalk,Moktaffy,0.6536535764375876,0.0025488584012125504,0.6535272940708978,12.0,2.38,11.75,2.48,13.92,1.15,41.33,215.07,41.46,0.39,0.74,1.16,Arb,5.0
12/05/2021 15:10:07,12 May 19:30 2021,Dundalk,Moktaffy,0.08573913043478276,0.0003108840010066505,0.07885883569534696,1.37,2.38,0,2.5,0,1.15,38.59,215.07,41.46,2.27,-0.99,-2.74,Punt,5.0
12/05/2021 15:48:05,12 May 17:10 2021,Perth,Dunnottar Castle,0.11176623376623374,0.0003116186459153347,0.09699130354114793,0.26,126.0,0,220.0,0,14.0,60.21,251.04,19.48,39.0,6.24,-0.52,Punt,5.0
