date_of_race,horse_name,bookie_odds,venue,ew_stake,balance,rating,current_time,expected_value,expected_return,win_stake,place_stake,win_odds,place_odds,betfair_balance,max_profit,is_lay,win_matched,lay_matched,arbritrage_profit,place
10 Jan 14:10 2021,Bean In Trouble,26.0,Exeter,0.33,52.08,105.48,10/01/2021 14:06:55,0,0,0.31,0.43,28.0,4.7,78.84,1.81,True,0,0,0.04
10 Jan 14:10 2021,Bean In Trouble,26.0,Exeter,0.28,51.42,107.47,10/01/2021 14:07:13,18.75%,0.05,26.02,33.2,27.0,4.9,78.84,4.03,False,0,0,0
10 Jan 15:20 2021,Tellmeyourstory,3.0,Southwell,2.23,46.3,96.6,10/01/2021 14:10:20,0,0,2.0,2.54,3.4,1.28,58.15,2.51,True,2.0,2.54,0.15
10 Jan 15:20 2021,Tellmeyourstory,3.0,Southwell,0.1,41.84,100.33,10/01/2021 14:10:39,0.66%,0.0,12.09,15.0,3.35,1.26,58.15,0.09,False,0,0,0
10 Jan 16:10 2021,Top Of The Bill,3.75,Exeter,2.16,41.64,96.2,10/01/2021 14:17:32,0,0,2.0,2.37,4.1,1.46,75.31,1.52,True,0,0,0.16
10 Jan 16:10 2021,Top Of The Bill,3.75,Exeter,2.21,37.32,95.14,10/01/2021 14:20:15,0,0,2.0,2.43,4.2,1.46,75.31,1.94,True,0,0,0.21
10 Jan 16:10 2021,Top Of The Bill,3.75,Exeter,2.21,32.9,95.14,10/01/2021 14:22:06,0,0,2.0,2.43,4.2,1.46,75.31,1.94,True,0,0,0.21
11 Jan 17:45 2021,Strawbs,6.5,Wolverhampton,2.26,52.55,95.93,11/01/2021 16:04:32,0,0,2.0,2.57,7.4,1.87,92.13,2.12,True,2.0,2.57,0.71
11 Jan 17:45 2021,Lead Story,3.75,Wolverhampton,2.16,48.03,95.11,11/01/2021 17:27:25,0,0,2.0,2.33,4.4,2.49,94.13,2.05,True,2.0,0,-2.42
12 Jan 12:30 2021,Mont Segur,2.25,Wetherby,2.11,51.46,97.18,12/01/2021 12:26:31,0,0,2.0,2.31,2.62,1.22,105.37,4.2,True,2.0,2.31,-0.8
12 Jan 15:00 2021,Westy Fox,5.0,Fairyhouse,2.06,47.24,95.6,12/01/2021 12:38:25,0,0,2.0,2.15,5.2,1.97,102.85,1.59,True,2.0,2.15,-0.39
12 Jan 15:30 2021,Memory Of Youth,7.0,Fairyhouse,0.26,43.12,100.23,12/01/2021 14:11:06,5.92%,0.02,10.77,12.06,7.2,2.3,102.85,0.05,False,0,0,0
